TEMP,DRUCK,SPEZ_VOL0,SPEZ_VOL1,ENTHA0,ENTHA1,ENTRO0,ENTRO1,WAERME_KAP0,WAERME_KAP1,ETA0,ETA1,LAMBDA0,LAMBDA1,SIGMA
-70,580.74,0.00067954,22.271,120.95,356.85,0.66646,1.8277,1.0839,0.61275,0.0074185,7.5622E-06,0.10399,0.0035994,0.028062
-65,898.16,0.00068438,14.749,126.38,359.93,0.69288,1.8149,1.0898,0.62513,0.0045575,7.7491E-06,0.10255,0.00396,0.027307
-60,1355.6,0.0006893,10.003,131.85,363.06,0.71882,1.8036,1.0959,0.6372,0.0032935,7.9363E-06,0.10106,0.0043202,0.026556
-55,2000.2,0.0006943,6.934,137.34,366.25,0.7443,1.7936,1.1022,0.64897,0.0025741,8.1237E-06,0.099539,0.0046801,0.025809
-50,2890.4,0.00069939,4.9048,142.87,369.48,0.76935,1.7849,1.1086,0.66047,0.0021066,8.3111E-06,0.097981,0.0050398,0.025067
-45,4096.6,0.00070458,3.5348,148.43,372.76,0.79399,1.7773,1.1151,0.67174,0.0017769,8.4984E-06,0.0964,0.0053991,0.02433
-40,5703,0.00070987,2.5918,154.02,376.08,0.81823,1.7707,1.1217,0.6828,0.0015312,8.6855E-06,0.094803,0.0057582,0.023598
-35,7807.7,0.00071528,1.931,159.65,379.43,0.8421,1.765,1.1284,0.6937,0.0013406,8.8723E-06,0.093199,0.0061172,0.022871
-30,10525,0.0007208,1.4601,165.31,382.82,0.86561,1.7602,1.1351,0.70447,0.0011883,9.0587E-06,0.091597,0.0064762,0.022148
-25,13983,0.00072644,1.1193,171,386.24,0.88878,1.7561,1.1419,0.71516,0.0010638,9.2446E-06,0.089998,0.0068353,0.021431
-20,18330,0.00073222,0.86907,176.73,389.68,0.91163,1.7528,1.1488,0.7258,0.00096002,9.4299E-06,0.088409,0.0071947,0.020719
-15,23728,0.00073814,0.68278,182.49,393.14,0.93416,1.7501,1.1558,0.73645,0.00087219,9.6146E-06,0.086833,0.0075547,0.020012
-10,30357,0.00074421,0.54235,188.29,396.62,0.95639,1.748,1.1628,0.74715,0.00079688,9.7986E-06,0.085276,0.0079155,0.01931
-5,38413,0.00075044,0.43521,194.13,400.1,0.97833,1.7465,1.17,0.75794,0.00073159,9.9819E-06,0.08374,0.0082775,0.018614
0,48111,0.00075685,0.35257,200,403.6,1,1.7454,1.1772,0.76887,0.00067445,0.000010165,0.082227,0.008641,0.017924
5,59680,0.00076344,0.28814,205.91,407.1,1.0214,1.7447,1.1846,0.77998,0.00062402,0.000010347,0.080739,0.0090064,0.017239
10,73365,0.00077022,0.23743,211.86,410.61,1.0426,1.7445,1.1921,0.79131,0.00057917,0.000010528,0.079278,0.0093743,0.016561
15,89429,0.00077722,0.19714,217.84,414.11,1.0635,1.7446,1.1998,0.80291,0.00053902,0.000010709,0.077845,0.0097452,0.015888
20,108150,0.00078444,0.16486,223.87,417.6,1.0841,1.745,1.2077,0.81482,0.00050287,0.00001089,0.07644,0.01012,0.015221
25,129810,0.0007919,0.13877,229.93,421.09,1.1046,1.7457,1.2159,0.82708,0.00047012,0.000011071,0.075063,0.010498,0.014561
30,154710,0.00079962,0.11753,236.04,424.56,1.1249,1.7467,1.2243,0.83975,0.00044032,0.000011251,0.073715,0.010882,0.013907
35,183190,0.00080762,0.10011,242.19,428.01,1.1449,1.7479,1.233,0.85286,0.00041307,0.000011433,0.072395,0.011271,0.013259
40,215550,0.00081592,0.08573,248.39,431.45,1.1648,1.7493,1.2421,0.86648,0.00038805,0.000011615,0.071102,0.011667,0.012618
45,252140,0.00082455,0.073774,254.63,434.86,1.1845,1.7509,1.2516,0.88066,0.00036497,0.000011799,0.069835,0.012071,0.011985
50,293320,0.00083353,0.063775,260.93,438.24,1.204,1.7527,1.2616,0.89546,0.00034361,0.000011984,0.068594,0.012483,0.011358
