TEMP,DRUCK,SPEZ_VOL0,SPEZ_VOL1,ENTHA0,ENTHA1,ENTRO0,ENTRO1,WAERME_KAP0,WAERME_KAP1,ETA0,ETA1,LAMBDA0,LAMBDA1,SIGMA
-53.1,31731,0.00075353,0.49557,134.73,326.25,0.73581,1.6062,1.1537,0.7599,0.00044252,9.0204E-06,0.095428,0.0092823,0.017203
-53,31908,0.00075368,0.49302,134.84,326.32,0.73633,1.6061,1.1539,0.76019,0.00044176,9.0244E-06,0.095389,0.0092895,0.017187
-52,33715,0.00075516,0.46832,136,327.02,0.74156,1.6053,1.1565,0.7631,0.0004343,9.0646E-06,0.094996,0.009362,0.017028
-50,37576,0.00075816,0.42325,138.32,328.42,0.75199,1.6039,1.1616,0.76896,0.00041996,0.000009145,0.094215,0.0095078,0.016711
-48,41787,0.0007612,0.38331,140.65,329.82,0.76237,1.6026,1.1667,0.77487,0.00040635,9.2253E-06,0.093438,0.0096544,0.016396
-46,46369,0.00076428,0.34783,142.99,331.22,0.77271,1.6014,1.1719,0.78084,0.00039342,9.3054E-06,0.092667,0.009802,0.016083
-44,51346,0.00076741,0.31623,145.34,332.62,0.783,1.6003,1.1772,0.78687,0.00038112,9.3854E-06,0.091901,0.0099506,0.015771
-42,56740,0.00077057,0.28805,147.7,334.03,0.79324,1.5993,1.1825,0.79297,0.00036941,9.4653E-06,0.09114,0.0101,0.015461
-40,62578,0.00077379,0.26284,150.08,335.43,0.80344,1.5984,1.1879,0.79913,0.00035824,0.000009545,0.090384,0.010251,0.015153
-38,68883,0.00077704,0.24026,152.46,336.84,0.8136,1.5977,1.1933,0.80536,0.00034758,9.6247E-06,0.089633,0.010402,0.014846
-36,75683,0.00078035,0.21998,154.86,338.24,0.82372,1.597,1.1988,0.81167,0.00033739,9.7042E-06,0.088886,0.010555,0.014541
-34,83003,0.00078371,0.20175,157.26,339.65,0.8338,1.5964,1.2043,0.81805,0.00032765,9.7837E-06,0.088144,0.010709,0.014238
-32,90872,0.00078711,0.18531,159.68,341.05,0.84384,1.596,1.2099,0.82451,0.00031833,9.8632E-06,0.087406,0.010864,0.013936
-30,99317,0.00079057,0.17047,162.11,342.46,0.85384,1.5956,1.2156,0.83106,0.00030939,9.9426E-06,0.086673,0.011019,0.013636
-28,108370,0.00079409,0.15705,164.55,343.86,0.86381,1.5953,1.2213,0.83769,0.00030083,0.000010022,0.085944,0.011176,0.013338
-26,118050,0.00079766,0.14489,167,345.26,0.87373,1.595,1.2271,0.84441,0.0002926,0.000010101,0.085219,0.011335,0.013042
-24,128400,0.00080128,0.13386,169.46,346.67,0.88363,1.5949,1.2329,0.85123,0.0002847,0.000010181,0.084499,0.011494,0.012747
-22,139440,0.00080497,0.12383,171.94,348.06,0.89349,1.5948,1.2389,0.85815,0.0002771,0.00001026,0.083782,0.011655,0.012455
-20,151210,0.00080872,0.11469,174.43,349.46,0.90332,1.5947,1.2449,0.86516,0.00026979,0.00001034,0.08307,0.011817,0.012164
-18,163740,0.00081253,0.10636,176.93,350.85,0.91311,1.5948,1.2509,0.87229,0.00026274,0.00001042,0.082361,0.01198,0.011875
-16,177060,0.00081641,0.098758,179.44,352.25,0.92288,1.5949,1.2571,0.87952,0.00025596,0.0000105,0.081656,0.012144,0.011588
-14,191200,0.00082036,0.091801,181.96,353.63,0.93261,1.5951,1.2633,0.88688,0.00024941,0.00001058,0.080955,0.01231,0.011302
-12,206190,0.00082438,0.085429,184.5,355.02,0.94232,1.5953,1.2697,0.89435,0.00024309,0.00001066,0.080257,0.012478,0.011019
-10,222080,0.00082847,0.079584,187.05,356.4,0.952,1.5955,1.2761,0.90195,0.00023699,0.000010741,0.079563,0.012646,0.010738
-8,238890,0.00083264,0.074216,189.61,357.77,0.96165,1.5959,1.2826,0.90968,0.00023108,0.000010822,0.078872,0.012817,0.010458
-6,256660,0.00083689,0.069279,192.19,359.14,0.97127,1.5962,1.2892,0.91755,0.00022537,0.000010904,0.078184,0.012989,0.010181
-4,275420,0.00084122,0.064732,194.78,360.51,0.98087,1.5966,1.2959,0.92557,0.00021985,0.000010986,0.0775,0.013163,0.0099056
-2,295220,0.00084564,0.06054,197.38,361.87,0.99045,1.5971,1.3028,0.93373,0.0002145,0.000011068,0.076818,0.013339,0.0096322
0,316090,0.00085015,0.05667,200,363.23,1,1.5976,1.3097,0.94206,0.00020931,0.000011152,0.076139,0.013516,0.0093609
2,338060,0.00085475,0.053092,202.63,364.57,1.0095,1.5981,1.3168,0.95055,0.00020427,0.000011236,0.075464,0.013696,0.0090917
4,361170,0.00085945,0.049781,205.28,365.91,1.019,1.5986,1.324,0.95923,0.00019939,0.000011321,0.07479,0.013878,0.0088246
6,385460,0.00086425,0.046714,207.94,367.25,1.0285,1.5992,1.3314,0.9681,0.00019464,0.000011406,0.07412,0.014062,0.0085597
8,410970,0.00086916,0.043868,210.61,368.57,1.038,1.5998,1.3389,0.97717,0.00019003,0.000011493,0.073452,0.014248,0.008297
10,437740,0.00087418,0.041226,213.3,369.89,1.0474,1.6005,1.3466,0.98648,0.00018555,0.000011581,0.072786,0.014437,0.0080364
12,465800,0.00087932,0.03877,216,371.2,1.0569,1.6011,1.3544,0.99604,0.00018118,0.00001167,0.072122,0.014629,0.0077782
14,495200,0.00088458,0.036484,218.72,372.49,1.0663,1.6018,1.3625,1.0059,0.00017694,0.000011761,0.07146,0.014823,0.0075222
16,525980,0.00088996,0.034355,221.46,373.78,1.0757,1.6025,1.3708,1.016,0.0001728,0.000011853,0.0708,0.015021,0.0072685
18,558180,0.00089549,0.032369,224.21,375.05,1.0851,1.6032,1.3792,1.0265,0.00016876,0.000011947,0.070142,0.015222,0.0070172
20,591840,0.00090115,0.030516,226.98,376.32,1.0944,1.6039,1.388,1.0373,0.00016482,0.000012043,0.069486,0.015426,0.0067682
22,627000,0.00090696,0.028784,229.77,377.57,1.1038,1.6046,1.397,1.0486,0.00016098,0.000012141,0.068831,0.015635,0.0065218
