Temperature,Enthalpy(kJ/kg) ,Pressure (Pa)
-30,169.78,20000000
-30,167.76,15240000
-30,165.66,10140000
-30,164.7,7725000
-30,164,5886000
-30,163,3420000
-30,162.3,1512000
-30,162.17,1000000
-30,161.848,114000
-30,161.843,99850
-30,343.2,98800
-30,343.4,91700
-30,343.55,86600
-30,343.6,85800
-10,194,20000000
-10,192.4,15880000
-10,190.2,10020000
-10,189.15,7090000
-10,188.47,5020000
-10,187.7,2515000
-10,187.03,223000
-10,187.26,222000
-10,356.8,222000
-10,358,172000
-10,359,132000
-10,360,92200
-10,360.15,85000
10,218.8,20000000
10,217,14920000
10,215.45,10090000
10,214.13,5090000
10,213.6,2570000
10,213.34,1060000
10,213.3,794000
10,213.2,437000
10,370,437000
10,372.85,310000
10,375.5,180000
10,376.8,114000
10,377.4,86000
30,244.15,20000000
30,242.8,15600000
30,241.5,10310000
30,241,7400000
30,240.78,5320000
30,240.66,2980000
30,240.75,1010000
30,240.77,780000
30,241.3,780000
30,382,780000
30,382.22,775000
30,387.1,550000
30,391.2,332000
30,394.1,160000
30,395.3,86000
50,270.13,20000000
50,269,15130000
50,268.4,9950000
50,268.7,4950000
50,269.4,2640000
50,269.7,2000000
50,270,1620000
50,270.12,1300000
50,392.3,1300000
50,398.25,1050000
50,408.1,490000
50,413,150000
50,413.85,86000
70,296.75,20000000
70,296.16,14950000
70,296.4,9946000
70,298.55,4950000
70,302.14,2190000
70,302.5,2045000
70,399,2045000
70,404.4,1870000
70,410.86,1590000
70,420.2,1060000
70,427.8,510000
70,432.7,120000
70,433,86000
90,324,20000000
90,324.12,15020000
90,325.6,10255000
90,331.7,5013000
90,342.4,3111000
90,343.88,3080000
90,394.3,3080000
90,397.2,3050000
90,417.3,2540000
90,434.6,1600000
90,442.6,1020000
90,448.7,490000
90,452.8,100000
90,452.9,86000
110,351.94,20000000
110,352.9,15200000
110,356.3,10270000
110,360.8,7610000
110,374.72,5060000
110,388.5,4490000
110,423.8,3650000
110,436.7,3080000
110,458,1600000
110,464.9,970000
110,469.4,510000
110,473,135000
110,473.44,86000
130,380.5,20000000
130,382.4,15550000
130,389.1,10160000
130,398.7,7520000
130,433.16,5000000
130,472.13,2470000
130,486.6,1010000
130,490.9,530000
130,494.4,110000
130,494.55,86000
