TEMP,DRUCK,SPEZ_VOL0,SPEZ_VOL1,ENTHA0,ENTHA1,ENTRO0,ENTRO1,WAERME_KAP0,WAERME_KAP1,ETA0,ETA1,LAMBDA0,LAMBDA1,SIGMA
-40,51209,0.00070537,0.36108,148.14,374,0.79561,1.7643,1.2546,0.749,0.00046703,0.000009269,0.11059,0.0081736,0.017597
-27,97104,0.00072492,0.19796,164.62,382.2,0.86425,1.7482,1.2787,0.791,0.00038379,9.75E-06,0.10434,0.0092372,0.015578
-26.079,101300,0.00072638,0.19023,165.8,382.78,0.86902,1.7472,1.2805,0.79417,0.00037873,9.78E-06,0.10391,0.0093131,0.015437
-25,1.06E+05,0.00072809,0.18162,167.19,383.45,0.8746,1.7461,1.2827,0.79792,0.0003784,0.000009725,0.1034,0.0094022,0.015272
-23,1.16E+05,0.00073131,0.16688,169.76,384.69,0.8849,1.7441,1.2868,0.80496,0.00036794,0.000009805,0.10246,0.0095676,0.014968
-21,1.27E+05,0.00073458,0.15357,172.34,385.94,0.89514,1.7422,1.2909,0.81215,0.00035788,0.000009885,0.10153,0.0097334,0.014664
-19,1.39E+05,0.0007379,0.14152,174.93,387.17,0.90534,1.7404,1.2952,0.81948,0.00034818,0.000009965,0.1006,0.0098997,0.014362
-17,1.51E+05,0.00074127,0.13059,177.53,388.4,0.91549,1.7387,1.2995,0.82695,0.00033884,0.000010045,0.099682,0.010067,0.014062
-15,1.64E+05,0.00074469,0.12067,180.14,389.63,0.92559,1.7371,1.304,0.83458,0.00032982,0.000010125,0.098765,0.010234,0.013762
-13,1.78E+05,0.00074818,0.11165,182.75,390.85,0.93564,1.7355,1.3085,0.84237,0.00032111,0.000010205,0.097851,0.010402,0.013464
-11,1.93E+05,0.00075172,0.10343,185.38,392.06,0.94566,1.7341,1.3132,0.85031,0.00031271,0.000010286,0.096942,0.010571,0.013167
-9,2.09E+05,0.00075532,0.095925,188.02,393.27,0.95563,1.7327,1.318,0.85843,0.00030458,0.000010366,0.096037,0.01074,0.012872
-7,2.25E+05,0.00075898,0.089072,190.66,394.47,0.96556,1.7313,1.3229,0.86672,0.00029671,0.000010447,0.095135,0.010911,0.012578
-5,2.43E+05,0.00076271,0.082801,193.32,395.66,0.97544,1.73,1.3279,0.8752,0.0002891,0.000010528,0.094238,0.011082,0.012285
