Temperature,Enthalpy (kJ/kg),Pressure (Pa)
-40,178.4,70000000
-40,173.1,58180000
-40,160,27700000
-40,151,6320000
-40,149.34,2087000
-40,148.6,130000
-40,148.57,51200
-40,374.16,51200
-20,202.3,70000000
-20,193.8,50700000
-20,182,22700000
-20,175,3900000
-20,173.9,412000
-20,173.8,132700
-20,386.7,130000
-20,390.5,10000
0,226.6,70000000
0,216.2,46000000
0,206,19820000
0,204.3,15000000
0,201.17,4900000
0,200.37,1800000
0,200.27,292000
0,398.67,292000
0,404.05,88000
20,251.2,70000000
20,242.1,48400000
20,229.2,11060000
20,228,5280000
20,227.4,571000
20,409.8,571000
20,420.25,105000
20,422.2,40000
40,276.15,70000000
40,268.3,50500000
40,258,19000000
40,256,5200000
40,256.3,1010000
40,419.6,1016000
40,437.4,110000
40,438.4,50000
60,301.5,70000000
60,294.7,52500000
60,285.3,20260000
60,287.5,1681000
60,426.9,1681000
60,448.6,570000
60,456.2,35000
80,327.2,70000000
80,320,50000000
80,313.7,25500000
80,318.3,4780000
80,322.4,2630000
80,429,2630000
80,461.6,1060000
80,468,530000
80,474.7,10000
100,353,70000000
100,347,52200000
100,341.6,25080000
100,343,15010000
100,345.8,10405000
100,357.4,5000000
100,374,3970000
100,407,3970000
100,450.8,3100000
100,480.8,1210000
100,492.3,140000
100,493.5,22000
120,379.3,70000000
120,372.4,47300000
120,371.1,20560000
120,387,8010000
120,395.4,6720000
120,408.5,5880000
120,429.3,5270000
120,466.3,3950000
120,494,2000000
120,511.4,210000
140,405.7,70000000
140,400.2,50130000
140,400,23200000
140,406.2,15200000
140,419.2,10000000
140,424.4,9010000
140,480,5140000
140,524,1110000
140,532.8,64000
160,432.32,70000000
160,427.1,48010000
160,426.4,37150000
160,429.6,24080000
160,439.5,15280000
160,453,11000000
160,460,9900000
160,480,7800000
160,504,5800000
160,527.7,3400000
160,547.5,920000
160,553.9,12000
180,460,70000000
180,455,50500000
180,464.2,20000000
180,474.3,14860000
180,491,10910000
180,536.8,5360000
180,555.5,3000000
180,569.2,960000
180,575,40000
