TEMP,DRUCK,SPEZ_VOL0,SPEZ_VOL1,ENTHA0,ENTHA1,ENTRO0,ENTRO1,WAERME_KAP0,WAERME_KAP1,ETA0,ETA1,LAMBDA0,LAMBDA1,SIGMA
-40,47211,0.000958,0.60583,134.4,478.02,0.7414,2.2152,1.587,0.91273,0.00037251,7.80E-06,0.12825,0.0077993,0.019095
-31.769,71000,0.00097355,0.41355,147.55,484.22,0.79673,2.1915,1.6054,0.94442,0.0003541,8.14E-06,0.12404,0.0086277,0.01785
-30.33,76000,0.00097636,0.388,149.86,485.3,0.80627,2.1877,1.6089,0.95022,0.00034224,0.000008198,0.12331,0.0087732,0.017634
-28.964,81000,0.00097904,0.3655,152.06,486.32,0.81529,2.1841,1.6122,0.95579,0.000332,8.25E-06,0.12263,0.0089115,0.01743
-27.664,86000,0.00098162,0.34553,154.16,487.29,0.82385,2.1808,1.6154,0.96117,0.00032303,8.30E-06,0.12198,0.0090435,0.017235
-26.423,91000,0.0009841,0.32768,156.17,488.21,0.832,2.1777,1.6185,0.96636,0.00031509,8.35E-06,0.12136,0.0091698,0.01705
-25.235,96000,0.0009865,0.31163,158.1,489.09,0.83977,2.1748,1.6216,0.9714,0.00030798,0.000008393,0.12077,0.0092909,0.016873
-24.095,101000,0.00098881,0.29712,159.95,489.93,0.84721,2.1721,1.6245,0.97628,0.00030156,8.44E-06,0.12021,0.0094074,0.016704
-24.022,101330,0.00098896,0.29622,160.07,489.98,0.84768,2.1719,1.6247,0.97659,0.0002984,8.34E-06,0.12018,0.0094099,0.016693
-22.998,106000,0.00099106,0.28393,161.74,490.74,0.85434,2.1695,1.6274,0.98103,0.00029572,8.4783E-06,0.11967,0.0095196,0.016541
-21.942,111000,0.00099324,0.27188,163.46,491.52,0.86119,2.1671,1.6302,0.98565,0.00029037,8.5185E-06,0.11916,0.009628,0.016385
-20.923,116000,0.00099536,0.26084,165.13,492.26,0.86778,2.1648,1.633,0.99015,0.00028545,8.5573E-06,0.11866,0.0097328,0.016234
-19.938,121000,0.00099742,0.25068,166.74,492.98,0.87414,2.1626,1.6357,0.99455,0.00028089,8.5948E-06,0.11818,0.0098343,0.016089
-18.984,126000,0.00099943,0.2413,168.3,493.68,0.88029,2.1605,1.6383,0.99884,0.00027665,8.6311E-06,0.11775,0.0099327,0.015948
-18.06,131000,0.0010014,0.23261,169.82,494.35,0.88623,2.1585,1.6409,1.003,0.0002727,8.6662E-06,0.11732,0.010028,0.015812
-17.163,136000,0.0010033,0.22454,171.3,495,0.89198,2.1565,1.6434,1.0072,0.00026899,8.7002E-06,0.1169,0.010121,0.01568
-16.292,141000,0.0010052,0.21702,172.73,495.64,0.89756,2.1547,1.6459,1.0112,0.0002655,8.7333E-06,0.11649,0.010212,0.015553
-15.444,146000,0.001007,0.21,174.13,496.25,0.90297,2.1529,1.6483,1.0151,0.00026221,8.7654E-06,0.11609,0.0103,0.015428
-14.619,151000,0.0010088,0.20342,175.49,496.84,0.90823,2.1512,1.6507,1.019,0.0002591,8.7966E-06,0.1157,0.010386,0.015308
-13.815,156000,0.0010106,0.19726,176.82,497.42,0.91335,2.1496,1.6531,1.0228,0.00025615,8.8271E-06,0.11533,0.01047,0.01519
-13.031,161000,0.0010123,0.19146,178.12,497.98,0.91833,2.148,1.6554,1.0266,0.00025335,8.8567E-06,0.11496,0.010552,0.015076
-12.266,166000,0.001014,0.186,179.39,498.53,0.92319,2.1465,1.6577,1.0303,0.00025068,8.8857E-06,0.1146,0.010632,0.014965
-11.519,171000,0.0010157,0.18085,180.63,499.06,0.92792,2.145,1.6599,1.0339,0.00024813,8.9139E-06,0.11426,0.010711,0.014856
-10.788,176000,0.0010173,0.17598,181.85,499.59,0.93254,2.1436,1.6621,1.0375,0.0002457,8.9416E-06,0.11392,0.010788,0.01475
-10.074,181000,0.0010189,0.17136,183.04,500.09,0.93705,2.1422,1.6643,1.041,0.00024336,8.9685E-06,0.11359,0.010863,0.014646
-9.3748,186000,0.0010205,0.16699,184.21,500.59,0.94146,2.1409,1.6665,1.0445,0.00024113,0.000008995,0.11326,0.010937,0.014545
-8.69,191000,0.0010221,0.16284,185.35,501.07,0.94577,2.1396,1.6686,1.0479,0.00023898,9.0208E-06,0.11295,0.01101,0.014446
-8.0191,196000,0.0010236,0.1589,186.47,501.55,0.94999,2.1384,1.6707,1.0513,0.00023691,9.0461E-06,0.11264,0.011081,0.014349
-7.3614,201000,0.0010251,0.15514,187.57,502.01,0.95412,2.1372,1.6728,1.0546,0.00023492,9.0709E-06,0.11233,0.011151,0.014254
-6.7162,206000,0.0010266,0.15156,188.65,502.46,0.95817,2.136,1.6749,1.0579,0.00023299,9.0953E-06,0.11204,0.01122,0.014161
-6.0831,211000,0.0010281,0.14814,189.72,502.91,0.96214,2.1348,1.6769,1.0611,0.00023114,9.1191E-06,0.11175,0.011288,0.01407
-5.4615,216000,0.0010295,0.14488,190.76,503.34,0.96602,2.1337,1.6789,1.0643,0.00022935,9.1426E-06,0.11146,0.011354,0.01398
-4.851,221000,0.001031,0.14176,191.79,503.77,0.96984,2.1326,1.6809,1.0675,0.00022761,9.1656E-06,0.11118,0.01142,0.013892
-4.2512,226000,0.0010324,0.13877,192.8,504.18,0.97358,2.1316,1.6829,1.0707,0.00022593,9.1882E-06,0.11091,0.011484,0.013806
-3.6615,231000,0.0010338,0.1359,193.8,504.59,0.97726,2.1305,1.6848,1.0738,0.0002243,9.2104E-06,0.11064,0.011548,0.013722
-3.0816,236000,0.0010352,0.13316,194.78,504.99,0.98087,2.1295,1.6867,1.0768,0.00022272,9.2323E-06,0.11038,0.01161,0.013639
-2.5112,241000,0.0010365,0.13052,195.74,505.39,0.98442,2.1286,1.6886,1.0799,0.00022118,9.2537E-06,0.11012,0.011672,0.013557
-1.9498,246000,0.0010379,0.12798,196.69,505.78,0.98791,2.1276,1.6905,1.0829,0.00021969,9.2749E-06,0.10987,0.011733,0.013477
-1.3972,251000,0.0010392,0.12555,197.63,506.16,0.99134,2.1267,1.6924,1.0859,0.00021824,9.2957E-06,0.10962,0.011793,0.013398
-0.85303,256000,0.0010405,0.1232,198.55,506.53,0.99472,2.1258,1.6943,1.0888,0.00021683,9.3162E-06,0.10937,0.011852,0.01332
-0.31701,261000,0.0010419,0.12095,199.46,506.9,0.99804,2.1249,1.6961,1.0918,0.00021545,9.3364E-06,0.10913,0.01191,0.013244
0.21114,266000,0.0010431,0.11877,200.36,507.26,1.0013,2.124,1.698,1.0947,0.00021411,9.3563E-06,0.10889,0.011968,0.013169
0.73169,271000,0.0010444,0.11667,201.25,507.61,1.0045,2.1231,1.6998,1.0975,0.0002128,9.3759E-06,0.10866,0.012025,0.013095
1.2449,276000,0.0010457,0.11464,202.12,507.96,1.0077,2.1223,1.7016,1.1004,0.00021153,9.3952E-06,0.10843,0.012081,0.013022
1.751,281000,0.001047,0.11269,202.98,508.3,1.0108,2.1215,1.7034,1.1032,0.00021028,9.4143E-06,0.1082,0.012137,0.01295
2.2501,286000,0.0010482,0.1108,203.84,508.64,1.0139,2.1207,1.7051,1.106,0.00020907,9.4331E-06,0.10797,0.012192,0.012879
2.7426,291000,0.0010494,0.10897,204.68,508.97,1.0169,2.1199,1.7069,1.1088,0.00020788,9.4516E-06,0.10775,0.012246,0.01281
3.2287,296000,0.0010507,0.1072,205.51,509.3,1.0199,2.1191,1.7086,1.1116,0.00020672,9.4699E-06,0.10754,0.0123,0.012741
3.7084,301000,0.0010519,0.10549,206.33,509.62,1.0229,2.1184,1.7104,1.1143,0.00020558,0.000009488,0.10732,0.012353,0.012673
4.1821,306000,0.0010531,0.10383,207.14,509.94,1.0258,2.1176,1.7121,1.117,0.00020447,9.5058E-06,0.10711,0.012406,0.012606
4.6499,311000,0.0010543,0.10223,207.95,510.26,1.0287,2.1169,1.7138,1.1197,0.00020338,9.5234E-06,0.1069,0.012458,0.01254
5.1119,316000,0.0010555,0.10067,208.74,510.56,1.0315,2.1162,1.7155,1.1224,0.00020231,9.5409E-06,0.1067,0.012509,0.012475
5.5683,321000,0.0010566,0.099161,209.53,510.87,1.0343,2.1155,1.7172,1.1251,0.00020126,9.5581E-06,0.1065,0.01256,0.012411
6.0193,326000,0.0010578,0.097696,210.3,511.17,1.0371,2.1148,1.7189,1.1277,0.00020024,9.5751E-06,0.1063,0.012611,0.012348
6.4651,331000,0.001059,0.096273,211.07,511.46,1.0398,2.1141,1.7206,1.1303,0.00019923,9.5919E-06,0.1061,0.012661,0.012285
6.9057,336000,0.0010601,0.094891,211.83,511.76,1.0425,2.1134,1.7222,1.133,0.00019825,9.6085E-06,0.1059,0.01271,0.012223
7.3412,341000,0.0010612,0.093548,212.58,512.04,1.0452,2.1128,1.7239,1.1355,0.00019728,9.6249E-06,0.10571,0.012759,0.012162
7.772,346000,0.0010624,0.092242,213.33,512.33,1.0478,2.1121,1.7255,1.1381,0.00019633,9.6412E-06,0.10552,0.012808,0.012102
8.198,351000,0.0010635,0.090972,214.06,512.61,1.0504,2.1115,1.7272,1.1407,0.0001954,9.6573E-06,0.10533,0.012856,0.012042
8.6193,356000,0.0010646,0.089737,214.79,512.88,1.053,2.1109,1.7288,1.1432,0.00019448,9.6732E-06,0.10515,0.012904,0.011983
9.0362,361000,0.0010657,0.088534,215.52,513.16,1.0555,2.1103,1.7304,1.1458,0.00019358,9.6889E-06,0.10496,0.012951,0.011925
9.4486,366000,0.0010668,0.087364,216.23,513.43,1.058,2.1097,1.732,1.1483,0.00019269,9.7045E-06,0.10478,0.012998,0.011867
9.8568,371000,0.0010679,0.086223,216.94,513.69,1.0605,2.1091,1.7336,1.1508,0.00019182,9.7199E-06,0.1046,0.013044,0.01181
10.261,376000,0.001069,0.085112,217.64,513.95,1.063,2.1085,1.7352,1.1533,0.00019097,9.7352E-06,0.10443,0.013091,0.011754
10.661,381000,0.0010701,0.084029,218.34,514.21,1.0654,2.1079,1.7368,1.1558,0.00019012,9.7503E-06,0.10425,0.013136,0.011698
11.057,386000,0.0010712,0.082973,219.03,514.47,1.0678,2.1074,1.7384,1.1582,0.0001893,9.7653E-06,0.10408,0.013182,0.011643
11.449,391000,0.0010722,0.081943,219.71,514.72,1.0702,2.1068,1.7399,1.1607,0.00018848,9.7801E-06,0.10391,0.013227,0.011589
11.837,396000,0.0010733,0.080938,220.39,514.97,1.0726,2.1062,1.7415,1.1631,0.00018768,9.7948E-06,0.10374,0.013272,0.011535
12.221,401000,0.0010743,0.079958,221.06,515.22,1.0749,2.1057,1.7431,1.1655,0.00018689,9.8094E-06,0.10357,0.013316,0.011481
12.602,406000,0.0010754,0.079,221.72,515.46,1.0772,2.1052,1.7446,1.168,0.00018611,9.8238E-06,0.1034,0.01336,0.011428
12.979,411000,0.0010764,0.078065,222.38,515.71,1.0795,2.1046,1.7462,1.1704,0.00018534,9.8381E-06,0.10324,0.013404,0.011376
13.353,416000,0.0010775,0.077152,223.04,515.94,1.0818,2.1041,1.7477,1.1728,0.00018458,9.8523E-06,0.10308,0.013447,0.011324
13.723,421000,0.0010785,0.07626,223.69,516.18,1.084,2.1036,1.7492,1.1751,0.00018384,9.8663E-06,0.10292,0.01349,0.011273
14.09,426000,0.0010795,0.075387,224.33,516.41,1.0862,2.1031,1.7508,1.1775,0.0001831,9.8803E-06,0.10276,0.013533,0.011222
14.454,431000,0.0010805,0.074535,224.97,516.64,1.0884,2.1026,1.7523,1.1799,0.00018238,9.8941E-06,0.1026,0.013576,0.011172
14.815,436000,0.0010815,0.073701,225.6,516.87,1.0906,2.1021,1.7538,1.1822,0.00018166,9.9078E-06,0.10244,0.013618,0.011122
15.172,441000,0.0010825,0.072885,226.23,517.1,1.0928,2.1016,1.7553,1.1846,0.00018096,9.9214E-06,0.10229,0.01366,0.011073
15.527,446000,0.0010835,0.072087,226.85,517.32,1.0949,2.1011,1.7568,1.1869,0.00018026,9.9348E-06,0.10213,0.013701,0.011024
15.878,451000,0.0010845,0.071306,227.47,517.54,1.097,2.1006,1.7583,1.1892,0.00017958,9.9482E-06,0.10198,0.013743,0.010976
