Temperature,Enthalpy(kJ/kg) ,Pressure (Pa)
-30,172.41,40000000
-30,166.5,30000000
-30,160.8,20000000
-30,155.3,10000000
-30,154.7,9000000
-30,152.6,5000000
-30,150.05,76643
-30,485.1,76643
-30,486.3,60000
-30,486.9,50000
-30,487.4,40000
-30,488,30000
-10,203.4,40000000
-10,197.8,30000000
-10,197.3,10000000
-10,185,5000000
-10,183.229,180463
-10,499.721,180463
-10,501,150000
-10,502.8,120000
-10,503.9,100000
-10,504.5,80000
-10,505.9,50000
10,235,40000000
10,229.7,30000000
10,224.8,20000000
10,220.3,10000000
10,218.4,5000000
10,217.2,370916
10,513.39,370916
10,514.5,350000
10,516.5,300000
10,518.5,250000
10,520,200000
10,523.8,100000
10,525.5,50000
10,527,5000
30,267.4,40000000
30,262.5,30000000
30,258,20000000
30,254.4,10000000
30,253.2,5000000
30,252.8,686866
30,525.6,686866
30,529,600000
30,532,500000
30,535.7,400000
30,541.8,200000
30,544.6,100000
30,545.2,80000
30,546,50000
30,547.3,1000
50,300.4,40000000
50,295.9,30000000
50,292.3,20000000
50,289.8,10000000
50,289.6,5000000
50,290.4,1172969
50,535.6,1172969
50,541.7,1000000
50,547.9,800000
50,553.7,600000
50,556.3,500000
50,558.9,400000
50,567.6,40000
50,568.3,10000
70,334,40000000
70,330,30000000
70,327.4,20000000
70,326.8,10000000
70,328.4,5000000
70,331.05,1880138
70,542.1,1880138
70,548.8,1700000
70,555.2,1500000
70,568.9,1000000
70,589.6,50000
70,590,10000
90,368.4,40000000
90,365.2,30000000
90,363.8,20000000
90,365.9,10000000
90,371.1,5000000
90,376.7,2869299
90,541.9,2869299
90,557.2,2500000
90,572.4,2000000
90,584.7,1500000
90,595.3,1000000
90,604.5,500000
90,612.7,50000
110,403.4,40000000
110,401.2,30000000
110,401.1,20000000
110,407.9,10000000
110,427,5000000
110,438.5,4231088
110,517.8,4231088
110,541.1,4000000
110,580,3000000
110,603,2000000
110,621.8,1000000
110,630,500000
110,637,10000
130,439.1,40000000
130,440.2,20000000
130,454.4,10000000
130,458.5,9000000
130,464.4,8000000
130,475,7000000
130,505,6000000
130,536.9,5500000
130,562,5000000
130,593.8,4000000
130,615.8,3000000
130,648.7,1000000
130,658,300000
130,662,10000
