TEMP,DRUCK,SPEZ_VOL0,SPEZ_VOL1,ENTHA0,ENTHA1,ENTRO0,ENTRO1,WAERME_KAP0,WAERME_KAP1,ETA0,ETA1,LAMBDA0,LAMBDA1,SIGMA
-56,5.31E+05,8.50E-04,7.10E-02,81.13,430.62,0.52631,2.1358,1.9545,0.91214,2.54E-04,1.10E-05,0.17989,0.01106,0.017021
-55.9,5.33E+05,8.50E-04,7.07E-02,81.33,430.66,0.52721,2.1352,1.9547,0.91275,2.54E-04,1.10E-05,0.17976,0.011068,0.016996
-55.8,5.35E+05,8.51E-04,7.04E-02,81.52,430.7,0.5281,2.1346,1.955,0.91337,2.53E-04,1.10E-05,0.17963,0.011077,0.01697
-55.7,5.38E+05,8.51E-04,7.01E-02,81.72,430.73,0.52899,2.134,1.9552,0.91399,2.53E-04,1.10E-05,0.1795,0.011085,0.016945
-55.6,5.40E+05,8.51E-04,6.98E-02,81.91,430.77,0.52989,2.1335,1.9555,0.91461,2.52E-04,1.10E-05,0.17936,0.011093,0.01692
-55.5,5.42E+05,8.51E-04,6.96E-02,82.11,430.81,0.53078,2.1329,1.9557,0.91524,2.52E-04,1.10E-05,0.17923,0.011102,0.016895
-55.4,5.45E+05,8.52E-04,6.93E-02,82.31,430.84,0.53167,2.1323,1.9559,0.91586,2.52E-04,1.10E-05,0.1791,0.01111,0.01687
-55.3,5.47E+05,8.52E-04,6.90E-02,82.5,430.88,0.53256,2.1317,1.9562,0.91649,2.51E-04,1.10E-05,0.17897,0.011118,0.016845
-55.2,5.49E+05,8.52E-04,6.87E-02,82.7,430.91,0.53346,2.1311,1.9564,0.91712,2.51E-04,1.10E-05,0.17884,0.011127,0.01682
-55.1,5.52E+05,8.52E-04,6.84E-02,82.9,430.95,0.53435,2.1306,1.9567,0.91775,2.50E-04,1.10E-05,0.17871,0.011135,0.016795
-55,5.54E+05,8.53E-04,6.82E-02,83.09,430.99,0.53524,2.13,1.9569,0.91838,2.50E-04,1.10E-05,0.17858,0.011144,0.01677
-54.9,5.56E+05,8.53E-04,6.79E-02,83.29,431.02,0.53613,2.1294,1.9572,0.91901,2.49E-04,1.10E-05,0.17844,0.011152,0.016746
-54.8,5.59E+05,8.53E-04,6.76E-02,83.48,431.06,0.53702,2.1288,1.9574,0.91964,2.49E-04,1.10E-05,0.17831,0.011161,0.016721
-54.7,5.61E+05,8.53E-04,6.73E-02,83.68,431.09,0.53791,2.1283,1.9577,0.92028,2.49E-04,1.11E-05,0.17818,0.011169,0.016696
-54.6,5.64E+05,8.54E-04,6.70E-02,83.88,431.13,0.5388,2.1277,1.9579,0.92092,2.48E-04,1.11E-05,0.17805,0.011177,0.016671
-54.5,5.66E+05,8.54E-04,6.68E-02,84.07,431.17,0.53969,2.1271,1.9582,0.92155,2.48E-04,1.11E-05,0.17792,0.011186,0.016646
-54.4,5.68E+05,8.54E-04,6.65E-02,84.27,431.2,0.54058,2.1265,1.9585,0.92219,2.47E-04,1.11E-05,0.17779,0.011194,0.016621
-54.3,5.71E+05,8.54E-04,6.62E-02,84.47,431.24,0.54146,2.126,1.9587,0.92284,2.47E-04,1.11E-05,0.17766,0.011203,0.016596
-54.2,5.73E+05,8.55E-04,6.60E-02,84.66,431.27,0.54235,2.1254,1.959,0.92348,2.46E-04,1.11E-05,0.17753,0.011211,0.016571
-54.1,5.76E+05,8.55E-04,6.57E-02,84.86,431.31,0.54324,2.1248,1.9592,0.92412,2.46E-04,1.11E-05,0.17739,0.01122,0.016546
-54,5.78E+05,8.55E-04,6.54E-02,85.06,431.34,0.54413,2.1243,1.9595,0.92477,2.46E-04,1.11E-05,0.17726,0.011228,0.016521
-53.9,5.81E+05,8.56E-04,6.52E-02,85.25,431.38,0.54502,2.1237,1.9598,0.92542,2.45E-04,1.11E-05,0.17713,0.011237,0.016496
-53.8,5.83E+05,8.56E-04,6.49E-02,85.45,431.41,0.5459,2.1231,1.96,0.92607,2.45E-04,1.11E-05,0.177,0.011245,0.016471
-53.7,5.85E+05,8.56E-04,6.46E-02,85.65,431.45,0.54679,2.1226,1.9603,0.92672,2.44E-04,1.11E-05,0.17687,0.011254,0.016447
-53.6,5.88E+05,8.56E-04,6.44E-02,85.84,431.48,0.54768,2.122,1.9606,0.92737,2.44E-04,1.11E-05,0.17674,0.011263,0.016422
-53.5,5.90E+05,8.57E-04,6.41E-02,86.04,431.52,0.54856,2.1214,1.9608,0.92802,2.43E-04,1.11E-05,0.17661,0.011271,0.016397
-53.4,5.93E+05,8.57E-04,6.39E-02,86.24,431.55,0.54945,2.1209,1.9611,0.92868,2.43E-04,1.11E-05,0.17648,0.01128,0.016372
-53.3,5.95E+05,8.57E-04,6.36E-02,86.43,431.59,0.55033,2.1203,1.9614,0.92934,2.43E-04,1.11E-05,0.17635,0.011288,0.016347
-53.2,5.98E+05,8.57E-04,6.33E-02,86.63,431.62,0.55122,2.1197,1.9616,0.92999,2.42E-04,1.11E-05,0.17622,0.011297,0.016322
-53.1,6.00E+05,8.58E-04,6.31E-02,86.83,431.66,0.5521,2.1191,1.9619,0.93066,2.42E-04,1.11E-05,0.17609,0.011305,0.016298
-53,6.03E+05,8.58E-04,6.28E-02,87.02,431.69,0.55299,2.1186,1.9622,0.93132,2.41E-04,1.11E-05,0.17596,0.011314,0.016273
-52.9,6.05E+05,8.58E-04,6.26E-02,87.22,431.72,0.55387,2.118,1.9625,0.93198,2.41E-04,1.11E-05,0.17582,0.011323,0.016248
-52.8,6.08E+05,8.58E-04,6.23E-02,87.42,431.76,0.55476,2.1175,1.9628,0.93265,2.41E-04,1.12E-05,0.17569,0.011331,0.016223
-52.7,6.11E+05,8.59E-04,6.21E-02,87.61,431.79,0.55564,2.1169,1.963,0.93331,2.40E-04,1.12E-05,0.17556,0.01134,0.016198
-52.6,6.13E+05,8.59E-04,6.18E-02,87.81,431.83,0.55652,2.1163,1.9633,0.93398,2.40E-04,1.12E-05,0.17543,0.011349,0.016174
-52.5,6.16E+05,8.59E-04,6.16E-02,88.01,431.86,0.55741,2.1158,1.9636,0.93465,2.39E-04,1.12E-05,0.1753,0.011357,0.016149
-52.4,6.18E+05,8.60E-04,6.13E-02,88.21,431.89,0.55829,2.1152,1.9639,0.93532,2.39E-04,1.12E-05,0.17517,0.011366,0.016124
